Company,Ticker
"WEC Energy Group, Inc.",NYSE: WEC
"Host Hotels & Resorts, Inc.",NYSE: HST
SunTrust Bank Holding Company,NYSE: STI
"AutoZone, Inc.",NYSE: AZO
Allegion plc,NYSE: ALLE
"American International Group, Inc.",NYSE: AIG
Archer-Daniels-Midland Company,NYSE: ADM
"Dominion Energy, Inc.",NYSE: D
Western Digital Corporation,NASDAQ: WDC
Pioneer Natural Resources Company,NYSE: PXD
Eversource Energy,NYSE: ES
BorgWarner Inc.,NYSE: BWA
"Fortinet, Inc.",NASDAQ: FTNT
Johnson & Johnson,NYSE: JNJ
BB&T Corporation,NYSE: BBT
IQVIA Holdings Inc.,NYSE: IQV
"Digital Realty Trust, Inc.",NYSE: DLR
"PepsiCo, Inc.",NASDAQ: PEP
Schlumberger Limited,NYSE: SLB
Whirlpool Corporation,NYSE: WHR
Kansas City Southern,NYSE: KSU
International Paper Company,NYSE: IP
Arthur J. Gallagher & Co.,NYSE: AJG
"Jack Henry & Associates, Inc.",NASDAQ: JKHY
CBS Corporation,NYSE: CBS
"Motorola Solutions, Inc.",NYSE: MSI
Lam Research Corporation,NASDAQ: LRCX
"WellCare Health Plans, Inc.",NYSE: WCG
"Conagra Brands, Inc.",NYSE: CAG
"Best Buy Co., Inc.",NYSE: BBY
Dover Corporation,NYSE: DOV
"Tapestry, Inc.",NYSE: TPR
Perrigo Company plc,NYSE: PRGO
"C.H. Robinson Worldwide, Inc.",NASDAQ: CHRW
Amphenol Corporation,NYSE: APH
Hanesbrands Inc.,NYSE: HBI
Omnicom Group Inc.,NYSE: OMC
Iron Mountain Incorporated,NYSE: IRM
"The Gap, Inc.",NYSE: GPS
"Diamondback Energy, Inc.",NASDAQ: FANG
Halliburton Company,NYSE: HAL
Jefferies Financial Group Inc.,NYSE: JEF
Welltower Inc.,NYSE: WELL
Parker-Hannifin Corporation,NYSE: PH
"Kinder Morgan, Inc.",NYSE: KMI
"Gartner, Inc.",NYSE: IT
Target Corporation,NYSE: TGT
"Zions Bancorporation, National Association",NASDAQ: ZION
"Noble Energy, Inc.",NYSE: NBL
"salesforce.com, inc.",NYSE: CRM
"FLIR Systems, Inc.",NASDAQ: FLIR
Allergan plc,NYSE: AGN
NiSource Inc.,NYSE: NI
Public Service Enterprise Group Incorporated,NYSE: PEG
"Boston Properties, Inc.",NYSE: BXP
"Mondelez International, Inc.",NASDAQ: MDLZ
Aflac Incorporated,NYSE: AFL
"Fiserv, Inc.",NASDAQ: FISV
Kohl's Corporation,NYSE: KSS
"Dollar Tree, Inc.",NASDAQ: DLTR
"Walgreens Boots Alliance, Inc.",NASDAQ: WBA
"Darden Restaurants, Inc.",NYSE: DRI
The Walt Disney Company,NYSE: DIS
Zoetis Inc.,NYSE: ZTS
American Airlines Group Inc.,NASDAQ: AAL
The Bank of New York Mellon Corporation,NYSE: BK
"Copart, Inc.",NASDAQ: CPRT
Nielsen Holdings plc,NYSE: NLSN
Bank of America Corporation,NYSE: BAC
Alliance Data Systems Corporation,NYSE: ADS
Edison International,NYSE: EIX
UnitedHealth Group Incorporated,NYSE: UNH
News Corporation,NASDAQ: NWSA
Intuit Inc.,NASDAQ: INTU
"Hasbro, Inc.",NASDAQ: HAS
Walmart Inc.,NYSE: WMT
Edwards Lifesciences Corporation,NYSE: EW
IHS Markit Ltd.,NYSE: INFO
Union Electric Company,OTCMKTS: UELMO
"Fidelity National Information Services, Inc.",NYSE: FIS
"Baker Hughes, a GE company",NYSE: BHGE
Molson Coors Brewing Company,NYSE: TAP
Ingersoll-Rand Plc,NYSE: IR
Loews Corporation,NYSE: L
"Leggett & Platt, Incorporated",NYSE: LEG
Medtronic plc,NYSE: MDT
S&P Global Inc.,NYSE: SPGI
Valero Energy Corporation,NYSE: VLO
The Kroger Co.,NYSE: KR
TechnipFMC plc,NYSE: FTI
"General Mills, Inc.",NYSE: GIS
"AMETEK, Inc.",NYSE: AME
Hewlett Packard Enterprise Company,NYSE: HPE
Exelon Corporation,NYSE: EXC
"L Brands, Inc.",NYSE: LB
"Prologis, Inc.",NYSE: PLD
"NextEra Energy, Inc.",NYSE: NEE
Exxon Mobil Corporation,NYSE: XOM
"Stanley Black & Decker, Inc.",NYSE: SWK
Extra Space Storage Inc.,NYSE: EXR
"Illumina, Inc.",NASDAQ: ILMN
Eli Lilly and Company,NYSE: LLY
"O'Reilly Automotive, Inc.",NASDAQ: ORLY
Thermo Fisher Scientific Inc.,NYSE: TMO
Abbott Laboratories,NYSE: ABT
"T. Rowe Price Group, Inc.",NASDAQ: TROW
International Business Machines Corporation,NYSE: IBM
Sempra Energy,NYSE: SRE
"CenturyLink, Inc.",NYSE: CTL
"Intercontinental Exchange, Inc.",NYSE: ICE
Microchip Technology Incorporated,NASDAQ: MCHP
Unum Group,NYSE: UNM
Marathon Oil Corporation,NYSE: MRO
"Fortune Brands Home & Security, Inc.",NYSE: FBHS
"Huntington Ingalls Industries, Inc.",NYSE: HII
"Intuitive Surgical, Inc.",NASDAQ: ISRG
Cerner Corporation,NASDAQ: CERN
Equifax Inc.,NYSE: EFX
"Juniper Networks, Inc.",NYSE: JNPR
The Progressive Corporation,NYSE: PGR
ConocoPhillips,NYSE: COP
Ohio Edison Company,-
"Essex Property Trust, Inc.",NYSE: ESS
Pfizer Inc.,NYSE: PFE
Eastman Chemical Company,NYSE: EMN
Capri Holdings Limited,NYSE: CPRI
Laboratory Corporation of America Holdings,NYSE: LH
Accenture plc,NYSE: ACN
Aptiv PLC,NYSE: APTV
"United Parcel Service, Inc.",NYSE: UPS
Hilton Worldwide Holdings Inc.,NYSE: HLT
"Varian Medical Systems, Inc.",NYSE: VAR
Invesco Ltd.,NYSE: IVZ
The Est???e Lauder Companies Inc.,NYSE: EL
Freeport-McMoRan Inc.,NYSE: FCX
Capital One Financial Corporation,NYSE: COF
"McCormick & Company, Incorporated",NYSE: MKC
Public Storage,NYSE: PSA
McKesson Corporation,NYSE: MCK
"Roper Technologies, Inc.",NYSE: ROP
Cimarex Energy Co.,NYSE: XEC
PPL Corporation,NYSE: PPL
Marathon Petroleum Corporation,NYSE: MPC
American Express Company,NYSE: AXP
Johnson Controls International plc,NYSE: JCI
Pacific Enterprises Inc.,-
"Mid-America Apartment Communities, Inc.",NYSE: MAA
"The Travelers Companies, Inc.",NYSE: TRV
TE Connectivity Ltd.,NYSE: TEL
Dollar General Corporation,NYSE: DG
"HCA Healthcare, Inc.",NYSE: HCA
"PerkinElmer, Inc.",NYSE: PKI
"The Hartford Financial Services Group, Inc.",NYSE: HIG
The Sherwin-Williams Company,NYSE: SHW
"UDR, Inc.",NYSE: UDR
"Netflix, Inc.",NASDAQ: NFLX
Xerox Corporation,NYSE: XRX
Chevron Corporation,NYSE: CVX
KLA-Tencor Corporation,NASDAQ: KLAC
"Red Hat, Inc.",BMV: RHT
Masco Corporation,NYSE: MAS
"Synopsys, Inc.",NASDAQ: SNPS
"Applied Materials, Inc.",NASDAQ: AMAT
Emerson Electric Co.,NYSE: EMR
"Ross Stores, Inc.",NASDAQ: ROST
"BlackRock, Inc.",NYSE: BLK
JPMorgan Chase & Co.,NYSE: JPM
eBay Inc.,NASDAQ: EBAY
Vornado Realty Trust,NYSE: VNO
AT&T Inc.,NYSE: T
The Procter & Gamble Company,NYSE: PG
Tiffany & Co.,NYSE: TIF
The Kraft Heinz Company,NASDAQ: KHC
"PayPal Holdings, Inc.",NASDAQ: PYPL
Boston Scientific Corporation,NYSE: BSX
State Street Corporation,NYSE: STT
"Evergy, Inc.",NYSE: EVRG
Centene Corporation,NYSE: CNC
The Western Union Company,NYSE: WU
Realty Income Corporation,NYSE: O
DISH Network Corporation,NASDAQ: DISH
"Wynn Resorts, Limited",NASDAQ: WYNN
"Nordstrom, Inc.",NYSE: JWN
"Total System Services, Inc.",NYSE: TSS
"Marriott International, Inc.",NASDAQ: MAR
LyondellBasell Industries N.V.,NYSE: LYB
"EOG Resources, Inc.",NYSE: EOG
"Becton, Dickinson and Company",NYSE: BDX
"National Oilwell Varco, Inc.",NYSE: NOV
Macerich Company,NYSE: MAC
ResMed Inc.,NYSE: RMD
"Autodesk, Inc.",NASDAQ: ADSK
Duke Realty Corporation,NYSE: DRE
"Equinix, Inc. (REIT)",NASDAQ: EQIX
Intel Corporation,NASDAQ: INTC
FedEx Corporation,NYSE: FDX
"F5 Networks, Inc.",NASDAQ: FFIV
Celgene Corporation,NASDAQ: CELG
"Delta Air Lines, Inc.",NYSE: DAL
"Discovery, Inc.",NASDAQ: DISCA
Hess Corporation,NYSE: HES
Global Payments Inc.,NYSE: GPN
"Akamai Technologies, Inc.",NASDAQ: AKAM
Northern Trust Corporation,NASDAQ: NTRS
Carnival Corporation,NYSE: CCL
"VeriSign, Inc.",NASDAQ: VRSN
"Foot Locker, Inc.",NYSE: FL
"TripAdvisor, Inc.",NASDAQ: TRIP
Kimberly-Clark Corporation,NYSE: KMB
"Ventas, Inc.",NYSE: VTR
Coty Inc.,NYSE: COTY
Textron Inc.,NYSE: TXT
"Skyworks Solutions, Inc.",NASDAQ: SWKS
Bristol-Myers Squibb Company,NYSE: BMY
"Xilinx, Inc.",NASDAQ: XLNX
M&T Bank Corporation,NYSE: MTB
"Micron Technology, Inc.",NASDAQ: MU
"Keysight Technologies, Inc.",NYSE: KEYS
Nektar Therapeutics,NASDAQ: NKTR
Visa Inc.,NYSE: V
"CBRE Group, Inc.",NYSE: CBRE
Honeywell International Inc.,NYSE: HON
Vertex Pharmaceuticals Incorporated,NASDAQ: VRTX
"Consolidated Edison Company of New York, Inc.",NYSE: ED
"Macy's, Inc.",NYSE: M
Comcast Corporation,NASDAQ: CMCSA
Kimco Realty Corporation,NYSE: KIM
The Southern Company,NYSE: SO
Norfolk Southern Corporation,NYSE: NSC
Occidental Petroleum Corporation,NYSE: OXY
Snap-on Incorporated,NYSE: SNA
Broadcom Inc.,NASDAQ: AVGO
"SunTrust Banks, Inc.",NYSE: STI
Baxter International Inc.,NYSE: BAX
Electronic Arts Inc.,NASDAQ: EA
Fifth Third Bancorp,NASDAQ: FITB
Tractor Supply Company,NASDAQ: TSCO
Southwest Airlines Co.,NYSE: LUV
Cincinnati Financial Corporation,NASDAQ: CINF
"Amazon.com, Inc.",NASDAQ: AMZN
"MetLife, Inc.",NYSE: MET
PECO Energy Company,NYSE: EXC
International Flavors & Fragrances Inc.,NYSE: IFF
Pinnacle West Capital Corporation,NYSE: PNW
Wells Fargo & Company,NYSE: WFC
Citigroup Inc.,NYSE: C
"L3 Technologies, Inc.",-
"Quanta Services, Inc.",NYSE: PWR
"Combined Insurance Company of America, Inc.",-
Ball Corporation,NYSE: BLL
Apartment Investment and Management Company,NYSE: AIV
"Verisk Analytics, Inc.",NASDAQ: VRSK
"Align Technology, Inc.",NASDAQ: ALGN
"HCP, Inc.",NYSE: HCP
Cognizant Technology Solutions Corporation,NASDAQ: CTSH
General Motors Company,NYSE: GM
SL Green Realty Corp.,NYSE: SLG
Kellogg Company,NYSE: K
"The TJX Companies, Inc.",NYSE: TJX
"American Electric Power Company, Inc.",NYSE: AEP
"W.W. Grainger, Inc.",NYSE: GWW
KeyCorp,NYSE: KEY
"Alexion Pharmaceuticals, Inc.",NASDAQ: ALXN
Monster Beverage Corporation,NASDAQ: MNST
"AvalonBay Communities, Inc.",NYSE: AVB
"Zimmer Biomet Holdings, Inc.",NYSE: ZBH
"Broadridge Financial Solutions, Inc.",NYSE: BR
"Waste Management, Inc.",NYSE: WM
Verizon Communications Inc.,NYSE: VZ
"Merck & Co., Inc.",NYSE: MRK
Kansas Power & Light Co,-
Brown-Forman Corporation,NYSE: BF.B
American Tower Corporation (REIT),NYSE: AMT
"Regeneron Pharmaceuticals, Inc.",NASDAQ: REGN
"Mohawk Industries, Inc.",NYSE: MHK
Alliant Energy Corporation,NASDAQ: LNT
Sysco Corporation,NYSE: SYY
"Harley-Davidson, Inc.",NYSE: HOG
Albemarle Corporation,NYSE: ALB
"Marsh & McLennan Companies, Inc.",NYSE: MMC
Norfolk & Western Railway Co.,NYSE: NSC
"Henry Schein, Inc.",NASDAQ: HSIC
The Mosaic Company,NYSE: MOS
Duke Energy Corporation,NYSE: DUK
"Principal Financial Group, Inc.",NASDAQ: PFG
"Universal Health Services, Inc.",NYSE: UHS
FMC Corporation,NYSE: FMC
E*TRADE Financial Corporation,NASDAQ: ETFC
Corning Incorporated,NYSE: GLW
MGM Resorts International,NYSE: MGM
Ford Motor Company,NYSE: F
Viacom Inc.,NASDAQ: VIAB
Colgate-Palmolive Company,NYSE: CL
The Hershey Company,NYSE: HSY
Sealed Air Corporation,NYSE: SEE
United Technologies Corporation,NYSE: UTX
QUALCOMM Incorporated,NASDAQ: QCOM
"CenterPoint Energy, Inc.",NYSE: CNP
Newmont Goldcorp Corporation,NYSE: NEM
Willis Towers Watson Public Limited Company,NASDAQ: WLTW
Raytheon Company,NYSE: RTN
Incyte Corporation,NASDAQ: INCY
Arconic Inc.,NYSE: ARNC
Deere & Company,NYSE: DE
"Ameriprise Financial, Inc.",NYSE: AMP
"Expedia Group, Inc.",NASDAQ: EXPE
Xcel Energy Inc.,NASDAQ: XEL
"Take-Two Interactive Software, Inc.",NASDAQ: TTWO
"Agilent Technologies, Inc.",NYSE: A
LKQ Corporation,NASDAQ: LKQ
DENTSPLY SIRONA Inc.,NASDAQ: XRAY
Oracle Corporation,NYSE: ORCL
Eaton Corporation plc,NYSE: ETN
Cummins Inc.,NYSE: CMI
"PPG Industries, Inc.",NYSE: PPG
Celanese Corporation,NYSE: CE
AmerisourceBergen Corporation,NYSE: ABC
Starbucks Corporation,NASDAQ: SBUX
"The Interpublic Group of Companies, Inc.",NYSE: IPG
Discover Financial Services,NYSE: DFS
Crown Castle International Corp. (REIT),NYSE: CCI
PACCAR Inc,NASDAQ: PCAR
"Prudential Financial, Inc.",NYSE: PRU
Morgan Stanley,NYSE: MS
"Chipotle Mexican Grill, Inc.",NYSE: CMG
DTE Energy Company,NYSE: DTE
"PulteGroup, Inc.",NYSE: PHM
The J. M. Smucker Company,NYSE: SJM
"People's United Financial, Inc.",NASDAQ: PBCT
The Boeing Company,NYSE: BA
General Electric Company,NYSE: GE
NVIDIA Corporation,NASDAQ: NVDA
Devon Energy Corporation,NYSE: DVN
"Hologic, Inc.",NASDAQ: HOLX
"Consolidated Edison, Inc.",NYSE: ED
IPG Photonics Corporation,NASDAQ: IPGP
U.S. Bancorp,NYSE: USB
TransDigm Group Incorporated,NYSE: TDG
Entergy Corporation,NYSE: ETR
"Simon Property Group, Inc.",NYSE: SPG
DXC Technology Company,NYSE: DXC
Lincoln National Corporation,NYSE: LNC
Symantec Corporation,NASDAQ: SYMC
Royal Caribbean Cruises Ltd.,NYSE: RCL
"Cadence Design Systems, Inc.",NASDAQ: CDNS
Booking Holdings Inc.,NASDAQ: BKNG
"Rollins, Inc.",NYSE: ROL
"Republic Services, Inc.",NYSE: RSG
Huntington Bancshares Incorporated,NASDAQ: HBAN
PVH Corp.,NYSE: PVH
Regency Centers Corporation,NASDAQ: REG
"Expeditors International of Washington, Inc.",NASDAQ: EXPD
The Clorox Company,NYSE: CLX
MSCI Inc.,NYSE: MSCI
"NRG Energy, Inc.",NYSE: NRG
The Charles Schwab Corporation,NYSE: SCHW
